Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/chat/completions,67,0,1500.0,1521.7314701493801,1453.8923000000068,1691.758300001311,298.0,0.5696652717672053,0.0,1500,1500,1500,1500,1600,1600,1700,1700,1700,1700,1700
,Aggregated,67,0,1500.0,1521.7314701493801,1453.8923000000068,1691.758300001311,298.0,0.5696652717672053,0.0,1500,1500,1500,1500,1600,1600,1700,1700,1700,1700,1700
