Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/models (startup check),2,0,140.0,139.81070000045293,136.5719999994326,143.04940000147326,243.0,0.04770659951753743,0.0,140,140,140,140,140,140,140,140,140,140,140
POST,POST /v1/chat/completions,13,0,4300.0,4406.465307692438,3592.6244000002043,5831.098700000439,298.0,0.3100928968639933,0.0,4300,4400,4400,4400,4400,5800,5800,5800,5800,5800,5800
,Aggregated,15,0,4300.0,3837.5780266668394,136.5719999994326,5831.098700000439,290.6666666666667,0.35779949638153075,0.0,4300,4400,4400,4400,4400,5800,5800,5800,5800,5800,5800
