Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/chat/completions,68,0,1500.0,1504.258598529465,1443.638099999589,1826.3884999996662,298.0,0.5729152658285458,0.0,1500,1500,1500,1500,1500,1600,1700,1800,1800,1800,1800
,Aggregated,68,0,1500.0,1504.258598529465,1443.638099999589,1826.3884999996662,298.0,0.5729152658285458,0.0,1500,1500,1500,1500,1500,1600,1700,1800,1800,1800,1800
