Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/models (startup check),2,0,150.0,152.29385000020557,147.25539999926696,157.33230000114418,243.0,0.07343365346294023,0.0,160,160,160,160,160,160,160,160,160,160,160
POST,POST /v1/chat/completions,16,0,1500.0,1486.0840062499392,1451.379399997677,1583.0744999984745,298.0,0.5874692277035218,0.0,1500,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600
,Aggregated,18,0,1500.0,1337.8850999999688,147.25539999926696,1583.0744999984745,291.8888888888889,0.6609028811664621,0.0,1500,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600
