Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/models (startup check),2,0,140.0,139.71824999953242,138.66849999976694,140.7679999992979,243.0,0.07332919865185805,0.0,140,140,140,140,140,140,140,140,140,140,140
POST,POST /v1/chat/completions,16,0,1500.0,1498.6652562502059,1461.1669999994774,1574.8863999997411,298.0,0.5866335892148644,0.0,1500,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600
,Aggregated,18,0,1500.0,1347.6711444445755,138.66849999976694,1574.8863999997411,291.8888888888889,0.6599627878667225,0.0,1500,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600
