family,scenario_id,label,status,summary_source,sample_count,replicas,unsupported_replicas,unsupported_evidence_kinds,request_count_mean,request_count_min,request_count_max,request_count_cv_percent,failure_count_mean,failure_count_min,failure_count_max,failure_count_cv_percent,mean_response_time_ms_mean,mean_response_time_ms_min,mean_response_time_ms_max,mean_response_time_ms_cv_percent,p50_response_time_ms_mean,p50_response_time_ms_min,p50_response_time_ms_max,p50_response_time_ms_cv_percent,p95_response_time_ms_mean,p95_response_time_ms_min,p95_response_time_ms_max,p95_response_time_ms_cv_percent,p99_response_time_ms_mean,p99_response_time_ms_min,p99_response_time_ms_max,p99_response_time_ms_cv_percent,throughput_rps_mean,throughput_rps_min,throughput_rps_max,throughput_rps_cv_percent,max_node_cpu_percent_mean,max_node_memory_percent_mean,max_pod_cpu_millicores_mean,max_pod_memory_mib_mean,pod_restart_count_mean,pending_pods_count_mean,failed_pods_count_mean,not_ready_pods_count_mean,kubernetes_events_count_mean,kubernetes_warning_events_count_mean,mean_latency_delta_vs_reference_percent,throughput_delta_vs_reference_percent
default-scheduler,DS_1T_2N_L0_UNIFORM_M1_W2,DS_1T_2N_L0_UNIFORM_M1_W2,measured,measurement_csv,3,"A,B,C",,,19,19,19,0.0,0,0,0,0.0,1505.3339,1489.6675,1527.6559,1.0766,1500.0,1500.0,1500.0,0.0,1766.6667,1600.0,1900.0,7.0597,1766.6667,1600.0,1900.0,7.0597,0.16,0.1595,0.1604,0.2481,4.6667,16.6667,392.3333,592.0,0,0,0,0,24,0,-0.8163,0.1879
default-scheduler,DS_1T_2N_L1_UNIFORM_M1_W2,DS_1T_2N_L1_UNIFORM_M1_W2,measured,measurement_csv,3,"A,B,C",,,9,9,9,0.0,0,0,0,0.0,7738.6223,7516.0313,8031.6261,2.7951,7600.0,7400.0,7800.0,2.1487,8766.6667,7900.0,10000.0,10.2168,8766.6667,7900.0,10000.0,10.2168,0.0821,0.0801,0.0836,1.7623,2.3333,16.0,216.0,592.0,0,0,0,0,24,0,409.8835,-48.5911
default-scheduler,DS_1T_3N_L1_UNIFORM_M1_W2,DS_1T_3N_L1_UNIFORM_M1_W2,measured,measurement_csv,3,"A,B,C",,,5,5,5,0.0,0,0,0,0.0,16152.4052,16043.6653,16303.0926,0.6809,15157.4357,15066.4554,15277.0606,0.5828,19666.6667,19000.0,20000.0,2.397,19666.6667,19000.0,20000.0,2.397,0.0496,0.0492,0.0499,0.549,1.3333,16.0,162.3333,592.0,0,0,0,0,25,0,964.2522,-68.9418
default-scheduler,DS_1T_4N_L0_UNIFORM_M1_W2,DS_1T_4N_L0_UNIFORM_M1_W2,measured,measurement_csv,3,"A,B,C",,,19,19,19,0.0,0,0,0,0.0,1517.7235,1515.9574,1519.1531,0.0874,1500.0,1500.0,1500.0,0.0,1633.3333,1600.0,1700.0,2.8862,1633.3333,1600.0,1700.0,2.8862,0.1597,0.1597,0.1597,0.0126,5.0,16.0,440.3333,592.0,0,0,0,0,25,0,0.0,0.0
default-scheduler,DS_1T_4N_L1_UNIFORM_M1_W2,DS_1T_4N_L1_UNIFORM_M1_W2,measured,measurement_csv,3,"A,B,C",,,5,5,5,0.0,0,0,0,0.0,16297.9395,16042.6358,16612.12,1.4492,15136.8056,15109.6682,15162.7792,0.1433,20666.6667,20000.0,22000.0,4.562,20666.6667,20000.0,22000.0,4.562,0.0493,0.0485,0.0499,1.1501,1.0,16.3333,130.3333,592.0,0,0,0,0,25,0,973.8412,-69.1296
default-scheduler,DS_1T_4N_L2_UNIFORM_M1_W2,DS_1T_4N_L2_UNIFORM_M1_W2,measured,measurement_csv,3,"A,B,C",,,2,2,2,0.0,0,0,0,0.0,47306.7968,42966.1497,49684.4274,6.4979,43111.3668,42334.1005,44000.0,1.5881,51666.6667,43000.0,56000.0,11.8611,51666.6667,43000.0,56000.0,11.8611,0.0202,0.0192,0.022,6.4513,1.0,16.0,18.6667,592.0,0,0,0,0,25,0,3016.9575,-87.3513
default-scheduler,DS_2T_2N_L0_DIFFERENTIATED_M1M1_W2,DS_2T_2N_L0_DIFFERENTIATED_M1M1_W2,measured,measurement_csv,6,"A,A,B,B,C,C",,,15,11,19,26.6667,0,0,0,0.0,1513.0531,1490.6902,1536.3249,1.2865,1500.0,1500.0,1500.0,0.0,1700.0,1700.0,1700.0,0.0,1700.0,1700.0,1700.0,0.0,0.1272,0.094,0.1604,26.0331,10.0,15.3333,413.3333,592.0,0,0,0,0,24,0,-0.3077,-20.3507
default-scheduler,DS_2T_2N_L0_UNIFORM_M1M1_W2,DS_2T_2N_L0_UNIFORM_M1M1_W2,measured,measurement_csv,6,"A,A,B,B,C,C",,,18,18,18,0.0,0,0,0,0.0,1620.391,1603.4536,1647.11,0.9552,1603.1818,1600.0,1619.091,0.4438,1750.0,1700.0,1800.0,2.8571,1750.0,1700.0,1800.0,2.8571,0.1575,0.1568,0.1579,0.2409,13.0,15.0,377.6667,592.0,0,0,0,0,24,0,6.7646,-1.3776
default-scheduler,DS_2T_2N_L1_DIFFERENTIATED_M1M1_W2,DS_2T_2N_L1_DIFFERENTIATED_M1M1_W2,measured,measurement_csv,6,"A,A,B,B,C,C",,,7,4,10,34.0068,0,0,0,0.0,11567.6009,7416.4932,16161.2216,33.8672,11493.0061,7300.0,16000.0,34.2966,12183.3333,8000.0,16000.0,29.2139,12183.3333,8000.0,16000.0,29.2139,0.0626,0.0423,0.0838,31.5412,3.0,15.3333,205.0,592.0,0,0,0,0,25,0,662.1679,-60.8015
default-scheduler,DS_2T_2N_L1_UNIFORM_M1M1_W2,DS_2T_2N_L1_UNIFORM_M1M1_W2,measured,measurement_csv,6,"A,A,B,B,C,C",,,6.8333,5,9,24.5119,0,0,0,0.0,13000.6479,7587.5515,18493.6923,32.0255,12403.2872,7500.0,17000.0,30.0954,15516.6667,8300.0,25000.0,37.9205,15516.6667,8300.0,25000.0,37.9205,0.0616,0.0444,0.0831,25.0225,3.6667,16.0,176.3333,592.0,0,0,0,0,24,0,756.5887,-61.4277
default-scheduler,DS_2T_2N_L2_DIFFERENTIATED_M1M1_W2,DS_2T_2N_L2_DIFFERENTIATED_M1M1_W2,unsupported_under_current_constraints,none,0,,"A,B,C","application_not_ready,localai_deployment,smoke_validation_failure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default-scheduler,DS_2T_3N_L1_DIFFERENTIATED_M1M1_W2,DS_2T_3N_L1_DIFFERENTIATED_M1M1_W2,measured,measurement_csv,6,"A,A,B,B,C,C",,,5,5,5,0.0,0,0,0,0.0,15545.3084,14693.4272,16595.1266,5.0474,15236.9886,15000.0,16000.0,2.3304,17833.3333,15000.0,21000.0,14.2657,17833.3333,15000.0,21000.0,14.2657,0.0466,0.0436,0.0498,5.7933,3.0,16.0,134.3333,592.0,0,0,0,0,25,0,924.2517,-70.8203
default-scheduler,DS_2T_3N_L1_UNIFORM_M1M1_W2,DS_2T_3N_L1_UNIFORM_M1M1_W2,measured,measurement_csv,6,"A,A,B,B,C,C",,,5.1667,5,6,7.2131,0,0,0,0.0,16516.88,15434.0245,18062.1394,4.7657,15827.567,15078.113,18000.0,6.4025,19500.0,17000.0,21000.0,7.6923,19500.0,17000.0,21000.0,7.6923,0.0487,0.0453,0.051,3.5291,3.0,16.0,179.0,592.0,0,0,0,0,25,0,988.2667,-69.5053
default-scheduler,DS_2T_4N_L0_DIFFERENTIATED_M1M1_W2,DS_2T_4N_L0_DIFFERENTIATED_M1M1_W2,measured,measurement_csv,6,"A,A,B,B,C,C",,,14.8333,11,19,25.9402,0,0,0,0.0,1567.3632,1516.9462,1655.3384,3.3884,1500.3261,1500.0,1501.9565,0.0486,2200.0,1600.0,3600.0,37.5745,2200.0,1600.0,3600.0,37.5745,0.1263,0.093,0.1597,25.8677,6.6667,16.0,445.6667,592.0,0,0,0,0,25,0,3.2707,-20.9142
default-scheduler,DS_2T_4N_L0_UNIFORM_M1M1_W2,DS_2T_4N_L0_UNIFORM_M1M1_W2,measured,measurement_csv,6,"A,A,B,B,C,C",,,18.8333,18,19,1.9788,0,0,0,0.0,1522.5833,1518.1979,1528.5059,0.2185,1500.0,1500.0,1500.0,0.0,1633.3333,1600.0,1700.0,2.8862,1633.3333,1600.0,1700.0,2.8862,0.1596,0.1595,0.1598,0.0625,8.0,16.0,426.0,592.0,0,0,0,0,25,0,0.3202,-0.0626
