Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/models (startup check),2,0,140.0,140.99664999957895,136.5488000010373,145.4444999981206,243.0,0.0453078063413574,0.0,150,150,150,150,150,150,150,150,150,150,150
POST,POST /v1/chat/completions,25,0,1510.5957999985549,1544.8943999999028,1510.5957999985549,1675.5078000023786,298.0,0.5663475792669675,0.0,1500,1500,1600,1600,1600,1600,1700,1700,1700,1700,1700
,Aggregated,27,0,1500.0,1440.901974073953,136.5488000010373,1675.5078000023786,293.9259259259259,0.6116553856083249,0.0,1500,1500,1600,1600,1600,1600,1700,1700,1700,1700,1700
