Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/chat/completions,102,0,1500.0,1491.9584176471235,1429.3546999979299,1708.7920000012673,298.0,0.5733389032381414,0.0,1500,1500,1500,1500,1500,1600,1600,1700,1700,1700,1700
,Aggregated,102,0,1500.0,1491.9584176471235,1429.3546999979299,1708.7920000012673,298.0,0.5733389032381414,0.0,1500,1500,1500,1500,1500,1600,1600,1700,1700,1700,1700
