Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/models (startup check),2,0,140.0,142.00745000016468,138.82880000164732,145.18609999868204,243.0,0.04557318578571703,0.0,150,150,150,150,150,150,150,150,150,150,150
POST,POST /v1/chat/completions,25,0,1500.0,1524.6984959993279,1441.7953999982274,1648.2974999998987,298.0,0.5696648223214629,0.0,1500,1500,1500,1600,1600,1600,1600,1600,1600,1600,1600
,Aggregated,27,0,1500.0,1422.276937036427,138.82880000164732,1648.2974999998987,293.9259259259259,0.6152380081071799,0.0,1500,1500,1500,1600,1600,1600,1600,1600,1600,1600,1600
