Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/models (startup check),1,0,147.5546999990911,147.5546999990911,147.5546999990911,147.5546999990911,243.0,0.03830993179307819,0.0,150,150,150,150,150,150,150,150,150,150,150
POST,POST /v1/chat/completions,8,0,1500.0,1484.4604625002376,1446.0314000007202,1595.3273000013724,298.0,0.30647945434462553,0.0,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600,1600
,Aggregated,9,0,1500.0,1335.915377777888,147.5546999990911,1595.3273000013724,291.8888888888889,0.3447893861377037,0.0,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600,1600
