Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/chat/completions,17,0,1500.0,1474.530947059226,1444.5574000001216,1605.5977000014536,298.0,0.29731385613528316,0.0,1500,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600
,Aggregated,17,0,1500.0,1474.530947059226,1444.5574000001216,1605.5977000014536,298.0,0.29731385613528316,0.0,1500,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600
