Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/models (startup check),2,0,141.4394000021275,166.07445000227017,141.4394000021275,190.70950000241282,243.0,0.04541139574736104,0.0,190,190,190,190,190,190,190,190,190,190,190
POST,POST /v1/chat/completions,25,0,1500.0,1529.5249640004477,1468.181200001709,1745.6305000014254,298.0,0.567642446842013,0.0,1500,1500,1500,1600,1600,1600,1700,1700,1700,1700,1700
,Aggregated,27,0,1500.0,1428.5286296302122,141.4394000021275,1745.6305000014254,293.9259259259259,0.6130538425893741,0.0,1500,1500,1500,1600,1600,1600,1700,1700,1700,1700,1700
