Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/models (startup check),4,0,140.0,139.06779999888386,135.43199999912758,147.3614999995334,243.0,0.0914879201564221,0.0,140,140,150,150,150,150,150,150,150,150,150
POST,POST /v1/chat/completions,36,0,2800.0,2800.379622222661,1671.2924999992538,4066.84800000221,298.0,0.8233912814077989,0.0,2800,2800,2800,2800,2900,2900,4100,4100,4100,4100,4100
,Aggregated,40,0,2800.0,2534.248440000283,135.43199999912758,4066.84800000221,292.5,0.914879201564221,0.0,2800,2800,2800,2800,2900,2900,4100,4100,4100,4100,4100
