Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/models (startup check),2,0,144.00600000044506,152.61050000026444,144.00600000044506,161.21500000008382,243.0,0.07362313757296801,0.0,160,160,160,160,160,160,160,160,160,160,160
POST,POST /v1/chat/completions,16,0,1500.0,1488.621743749718,1458.8292999997066,1524.2945999998483,298.0,0.5889851005837441,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
,Aggregated,18,0,1500.0,1340.1760499997788,144.00600000044506,1524.2945999998483,291.8888888888889,0.6626082381567121,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
