Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/models (startup check),2,0,140.99910000004456,142.2754499999428,140.99910000004456,143.55179999984102,243.0,0.07335146893027514,0.0,140,140,140,140,140,140,140,140,140,140,140
POST,POST /v1/chat/completions,16,0,1500.0,1496.0726374998785,1457.8563000013673,1561.67269999969,298.0,0.5868117514422011,0.0,1500,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600
,Aggregated,18,0,1500.0,1345.6507277776634,140.99910000004456,1561.67269999969,291.8888888888889,0.6601632203724762,0.0,1500,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600
