family,scenario_id,label,status,summary_source,sample_count,replicas,unsupported_replicas,unsupported_evidence_kinds,request_count_mean,request_count_min,request_count_max,request_count_cv_percent,failure_count_mean,failure_count_min,failure_count_max,failure_count_cv_percent,mean_response_time_ms_mean,mean_response_time_ms_min,mean_response_time_ms_max,mean_response_time_ms_cv_percent,p50_response_time_ms_mean,p50_response_time_ms_min,p50_response_time_ms_max,p50_response_time_ms_cv_percent,p95_response_time_ms_mean,p95_response_time_ms_min,p95_response_time_ms_max,p95_response_time_ms_cv_percent,p99_response_time_ms_mean,p99_response_time_ms_min,p99_response_time_ms_max,p99_response_time_ms_cv_percent,throughput_rps_mean,throughput_rps_min,throughput_rps_max,throughput_rps_cv_percent,max_node_cpu_percent_mean,max_node_memory_percent_mean,max_pod_cpu_millicores_mean,max_pod_memory_mib_mean,pod_restart_count_mean,pending_pods_count_mean,failed_pods_count_mean,not_ready_pods_count_mean,kubernetes_events_count_mean,kubernetes_warning_events_count_mean,mean_latency_delta_vs_reference_percent,throughput_delta_vs_reference_percent
worker-count,W1,W1 (1 worker),measured,measurement_csv,3,"A,B,C",,,96,96,96,0.0,0,0,0,0.0,1708.9596,1703.8076,1716.2863,0.3114,1700.0,1700.0,1700.0,0.0,1800.0,1800.0,1800.0,0.0,2133.3333,2100.0,2200.0,2.2097,0.5397,0.5384,0.5406,0.1773,35.0,38.6667,2708.0,1053.0,0,0,0,0,45,0,0.291,-0.1665
worker-count,W2,W2 (2 worker),measured,measurement_csv,3,"A,B,C",,,96,96,96,0.0,0,0,0,0.0,1704.0002,1700.7732,1706.4431,0.1397,1700.0,1700.0,1700.0,0.0,1800.0,1800.0,1800.0,0.0,2100.0,2000.0,2200.0,3.8881,0.5406,0.5401,0.541,0.0681,37.0,37.3333,2720.6667,1053.0,0,0,0,0,42,0,0.0,0.0
worker-count,W3,W3 (3 worker),unsupported_under_current_constraints,none,0,,"A,B,C","failed_scheduling,insufficient_cpu,insufficient_memory,latency_injection,no_preemption_victims_found,node_affinity_selector_mismatch,pending_pod,preemption_not_helpful",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worker-count,W4,W4 (4 worker),unsupported_under_current_constraints,none,0,,"A,B,C","failed_scheduling,insufficient_cpu,insufficient_memory,latency_injection,no_preemption_victims_found,node_affinity_selector_mismatch,pending_pod,preemption_not_helpful",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
workload,WL1,"WL1 (1 users, spawn 1)",measured,measurement_csv,3,"A,B,C",,,50,50,50,0.0,0,0,0,0.0,1589.1662,1587.8636,1589.8425,0.058,1600.0,1600.0,1600.0,0.0,1666.6667,1600.0,1700.0,2.8284,1766.6667,1700.0,1800.0,2.6683,0.2812,0.2811,0.2813,0.0335,17.3333,37.0,1323.6667,1053.0,0,0,0,0,32,3,-6.5903,-48.003
workload,WL2,"WL2 (2 users, spawn 1)",measured,measurement_csv,3,"A,B,C",,,96,96,96,0.0,0,0,0,0.0,1701.2863,1698.7445,1703.5977,0.1169,1700.0,1700.0,1700.0,0.0,1800.0,1800.0,1800.0,0.0,2000.0,2000.0,2000.0,0.0,0.5408,0.5403,0.5412,0.0713,36.6667,37.3333,2636.3333,1053.0,0,0,0,0,21,3,0.0,0.0
workload,WL3,"WL3 (4 users, spawn 2)",measured,measurement_csv,3,"A,B,C",,,134,134,134,0.0,0,0,0,0.0,3311.6304,3296.4973,3319.461,0.3232,3300.0,3300.0,3300.0,0.0,3500.0,3500.0,3500.0,0.0,4200.0,3800.0,4500.0,7.0093,0.7499,0.7488,0.752,0.2012,54.6667,38.6667,3985.0,1053.0,0,0,0,0,13,3,94.6545,38.6649
models,M1,M1 (llama-3.2-1b-instruct:q4_k_m),measured,measurement_csv,3,"A,B,C",,,96,96,96,0.0,0,0,0,0.0,1705.2774,1695.7341,1719.5225,0.6019,1700.0,1700.0,1700.0,0.0,1766.6667,1700.0,1800.0,2.6683,2100.0,2000.0,2200.0,3.8881,0.5405,0.5384,0.5418,0.2773,35.3333,37.6667,2749.0,1053.0,0,0,0,0,9,2.3333,0.0,0.0
models,M2,M2 (llama-3.2-1b-instruct:q8_0),measured,measurement_csv,3,"A,B,C",,,100,100,100,0.0,0,0,0,0.0,1570.3883,1562.5488,1581.4671,0.513,1600.0,1600.0,1600.0,0.0,1633.3333,1600.0,1700.0,2.8862,1800.0,1800.0,1800.0,0.0,0.561,0.5593,0.5623,0.2223,34.6667,37.3333,1447.6667,847.0,0,0,0,0,10.6667,0.3333,-7.9101,3.7928
models,M3,M3 (llama-3.2-3b-instruct:q4_k_m),measured,measurement_csv,3,"A,B,C",,,46.3333,46,47,1.0174,0,0,0,0.0,5626.1554,5595.7596,5682.6776,0.7111,5500.0,5500.0,5500.0,0.0,5766.6667,5700.0,5800.0,0.8175,8600.0,7900.0,9800.0,9.9122,0.2614,0.2595,0.2624,0.5142,52.0,37.3333,2100.6667,1524.0,0,0,0,0,18,0,229.9261,-51.6374
models,M4,M4 (llama-3.2-3b-instruct:q8_0),measured,measurement_csv,3,"A,B,C",,,51.6667,51,52,0.9124,0,0,0,0.0,4872.3799,4840.648,4920.4549,0.7095,4733.3333,4700.0,4800.0,0.9959,5000.0,5000.0,5000.0,0.0,8333.3333,7900.0,9000.0,5.7411,0.2903,0.2883,0.2917,0.5049,52.0,37.3333,2070.6667,2192.0,0,0,0,0,27,0,185.7236,-46.2905
placement,PL1,PL1 (colocated_sc_app_02),measured,measurement_csv,3,"A,B,C",,,96,96,96,0.0,0,0,0,0.0,1718.2119,1715.3504,1721.6619,0.1519,1700.0,1700.0,1700.0,0.0,1800.0,1800.0,1800.0,0.0,2100.0,2000.0,2200.0,3.8881,0.5386,0.538,0.539,0.0835,36.6667,39.0,1577.0,606.0,0,0,0,0,36,0,0.0,0.0
placement,PL2,PL2 (distributed),measured,measurement_csv,3,"A,B,C",,,96,96,96,0.0,0,0,0,0.0,1718.5779,1717.7775,1719.1204,0.0336,1700.0,1700.0,1700.0,0.0,1800.0,1800.0,1800.0,0.0,2133.3333,2100.0,2200.0,2.2097,0.5384,0.5381,0.5386,0.0382,21.3333,38.6667,1577.3333,606.0,0,0,0,0,36,0,0.0213,-0.0371
